Comment,Designator,Footprint,Digikey Part Number, MFG Part Number, Manufacturer
47uF,"C101,C104,C107",Capacitors_SMD:CP_Elec_6.3x7.7,493-2225-6-ND,VES470M1HTR-0607,Nichicon
100nF,"C102,C105,C108",Capacitors_SMD:C_0603_HandSoldering,399-1100-6-ND,C0603C104Z3VACTU,Kemet
100pF,"C103,C106,C109",Capacitors_SMD:C_0603_HandSoldering,399-7821-6-ND,C0603C101J1GACTU,Kemet
SS54,D1,Diodes_SMD:D_SMA_Handsoldering,TSS54URGGDKR-ND,TSS54U RGG,Taiwan Semiconductor
LED,"D105,D114,D115,D111,D106,D102,D103,D107,D112,D116,D117,D113,D108,D104,D110,D101,D118",LEDs:LED_D3.0mm,C503B-AAS-CY0B0251-ND,C503B-AAS-CY0B0251,Cree
GlideLED,D109,LEDs:LED_D3.0mm,C503B-AAS-CY0B0251-ND,C503B-AAS-CY0B0251,Cree
Conn_01x10_Female,J101,Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm,S7008-ND,PPTC101LFBN-RC,Sullins
Conn_01x16_Female,J102,Pin_Headers:Pin_Header_Straight_1x16_Pitch2.54mm,S7014-ND,PPTC161LFBN-RC,Sullins
BA56_3DIG_7SEG,J103,Eurocad:BA56_3DIG_7SEG,754-1656-5-ND,BA56-12GWA,Kingbright
Gate Out,J104,Eurocad:PJ301M-12,N/A,WQP-WQP518MA,Qingpu
Clock Out,J105,Eurocad:PJ301M-12,N/A,WQP-WQP518MA,Qingpu
Clock In,J106,Eurocad:PJ301M-12,N/A,WQP-WQP518MA,Qingpu
Pitch Out,J107,Eurocad:PJ301M-12,N/A,WQP-WQP518MA,Qingpu
CV Out,J108,Eurocad:PJ301M-12,N/A,WQP-WQP518MA,Qingpu
Reset In,J109,Eurocad:PJ301M-12,N/A,WQP-WQP518MA,Qingpu
MMBT3906,"Q101,Q102,Q103",TO_SOT_Packages_SMD:SOT-23_Handsoldering,MMBT3906LT1GOSDKR-ND,MMBT3906LT1G,ON Semiconductor
MMBT3904,"Q104,Q105",TO_SOT_Packages_SMD:SOT-23_Handsoldering,MMBT3904LT3GOSDKR-ND,MMBT3904LT3G,ON Semiconductor
100R,"R101,R102,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113",Resistors_SMD:R_0603_HandSoldering,RMCF0603FT100RDKR-ND,RMCF0603FT100R,Stackpole Electronics Inc
1k,"R114,R118,R103",Resistors_SMD:R_0603_HandSoldering,RMCF0603FT1K00DKR-ND,RMCF0603FT1K00,Stackpole Electronics Inc
680R,"R115,R116,R117",Resistors_SMD:R_0603_HandSoldering,RMCF0603FT680RCT-ND,RMCF0603FT680R,Stackpole Electronics Inc
10k,"R119,R122",Resistors_SMD:R_0603_HandSoldering,RMCF0603FT10K0DKR-ND,RMCF0603FT10K0,Stackpole Electronics Inc
100k,"R120,R123",Resistors_SMD:R_0603_HandSoldering,RMCF0603FG100KDKR-ND,RMCF0603FG100K,Stackpole Electronics Inc
1M,"R121,R124",Resistors_SMD:R_0603_HandSoldering,RMCF0603FT1M00DKR-ND,RMCF0603FT1M00,Stackpole Electronics Inc
R_POT,"RV102,RV103,RV104,RV101",Potentiometers:Potentiometer_Alps_RK09K_Horizontal,N/A,RV09AF-40-20K-B100K,Alpha
Shift,SW101,Buttons_Switches_THT:SW_PUSH_6mm,EG1861-ND,TL1105SPF160Q,E-Switch
Play,SW102,Buttons_Switches_THT:SW_PUSH_6mm,EG1861-ND,TL1105SPF160Q,E-Switch
Load,SW103,Buttons_Switches_THT:SW_PUSH_6mm,EG1861-ND,TL1105SPF160Q,E-Switch
Save,SW104,Buttons_Switches_THT:SW_PUSH_6mm,EG1861-ND,TL1105SPF160Q,E-Switch
Repeat,SW105,Buttons_Switches_THT:Push_E-Switch_KS01Q01,401-1992-ND,D6R40 F2 LFS,C&K
Mutate,SW106,Buttons_Switches_THT:Push_E-Switch_KS01Q01,401-1992-ND,D6R40 F2 LFS,C&K
Glide,SW107,Buttons_Switches_THT:SW_PUSH_6mm,EG1861-ND,TL1105SPF160Q,E-Switch
SW_Push,"SW112,SW109,SW110,SW113,SW114,SW115,SW117,SW118,SW119,SW120,SW121,SW122,SW123,SW124,SW111,SW108",Buttons_Switches_THT:SW_PUSH_6mm,EG1861-ND,TL1105SPF160Q,E-Switch
Rotary_Encoder,SW116,Rotary_Encoder:RotaryEncoder_Alps_EC12E_Vertical_H20mm,PEC11R-4215F-N0024-ND,PEC11R-4215F-N0024,"Bourns, Inc"
74HC595,"U101,U103",Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,1727-2821-6-ND,"74HC595D,118","Nexperia USA, Inc"
MCP23S17,U102,Housings_SOIC:SOIC-28W_7.5x18.7mm_Pitch1.27mm,MCP23S17-E/SO-ND,MCP23S17-E/SO,Microchip
